,0,1,2,3
0,World[a],884,"7,050,691","775,583,295"
1,Peru,"6,485","220,831","4,524,748"
2,Bulgaria,"5,706","38,700","1,329,356"
3,Bosnia and Herzegovina,"5,068","16,388","403,644"
4,Hungary,"4,921","49,051","2,230,438"
5,North Macedonia,"4,765","9,977","350,602"
6,Slovenia,"4,745","10,060","1,355,957"
7,Croatia,"4,652","18,752","1,317,083"
8,Georgia,"4,580","17,150","1,863,101"
9,Montenegro,"4,232","2,654","251,280"
10,Czech Republic,"4,145","43,505","4,759,561"
11,Latvia,"4,039","7,475","977,765"
12,Slovakia,"3,761","21,226","1,877,767"
13,Greece,"3,757","39,022","5,637,195"
14,San Marino,"3,739",126,"25,292"
15,Moldova,"3,738","12,237","635,713"
16,Lithuania,"3,565","9,805","1,366,617"
17,United States,"3,513","1,188,568","103,436,829"
18,Romania,"3,499","68,803","3,529,213"
19,Gibraltar,"3,458",113,"20,550"
20,United Kingdom,"3,438","232,112","24,935,078"
21,Italy,"3,337","197,018","26,722,730"
22,Brazil,"3,260","702,116","37,519,960"
23,Chile,"3,198","62,711","5,400,512"
24,Armenia,"3,156","8,777","451,944"
25,Poland,"3,028","120,711","6,663,154"
26,Martinique,"3,003","1,104","230,354"
27,Belgium,"2,946","34,339","4,862,645"
28,Paraguay,"2,931","19,880","735,759"
29,Argentina,"2,875","130,866","10,132,537"
30,Trinidad and Tobago,"2,867","4,390","191,496"
31,European Union[b],"2,802","1,261,543","185,649,088"
32,Russia,"2,784","402,956","24,205,590"
33,Ukraine,"2,768","109,920","5,531,747"
34,Colombia,"2,751","142,727","6,385,947"
35,Portugal,"2,747","28,217","5,645,996"
36,Aruba,"2,742",292,"44,224"
37,Serbia,"2,627","18,057","2,583,470"
38,Mexico,"2,627","335,011","7,709,747"
39,France,"2,600","168,091","38,997,490"
40,Sweden,"2,588","27,306","2,752,266"
41,Guadeloupe,"2,579","1,021","203,235"
42,Bermuda,"2,569",165,"18,860"
43,Spain,"2,562","121,852","13,980,340"
44,Austria,"2,520","22,534","6,082,351"
45,Guam,"2,439",419,"52,287"
46,Tunisia,"2,381","29,423","1,153,361"
47,Saint Lucia,"2,279",410,"30,257"
48,Suriname,"2,273","1,405","82,497"
49,Liechtenstein,"2,261",89,"21,577"
50,Estonia,"2,260","2,998","610,471"
51,Uruguay,"2,238","7,663","1,041,255"
52,French Polynesia,"2,122",650,"79,307"
53,Barbados,"2,105",593,"110,745"
54,Germany,"2,098","174,979","38,437,756"
55,Sint Maarten,"2,081",92,"11,051"
56,Finland,"2,069","11,466","1,499,712"
57,Bahamas,"2,068",848,"38,591"
58,British Virgin Islands,"2,042",64,"7,478"
59,Ecuador,"2,002","36,049","1,076,327"
60,Lebanon,"1,994","10,947","1,239,904"
61,Andorra,"1,991",159,"48,015"
62,Panama,"1,974","8,706","1,044,375"
63,Republic of Ireland,"1,916","9,628","1,737,403"
64,Grenada,"1,897",238,"19,693"
65,Monaco,"1,836",67,"17,181"
66,Bolivia,"1,831","22,387","1,212,131"
67,Puerto Rico,"1,825","5,938","1,252,713"
68,Montserrat,"1,812",8,"1,403"
69,Costa Rica,"1,808","9,368","1,230,653"
70,Kosovo,"1,802","3,212","274,279"
71,Hong Kong,"1,798","13,466","2,876,106"
72,South Africa,"1,712","102,595","4,072,710"
73,Malta,"1,700",907,"121,514"
74,Belize,"1,697",688,"71,409"
75,Iran,"1,658","146,837","7,627,863"
76,Denmark,"1,643","9,667","3,435,018"
77,Switzerland,"1,623","14,188","4,454,276"
78,Cyprus,"1,612","1,445","691,252"
79,Guyana,"1,608","1,301","74,129"
80,Seychelles,"1,605",172,"51,695"
81,Namibia,"1,600","4,108","172,411"
82,Curaçao,"1,595",305,"45,883"
83,Antigua and Barbuda,"1,556",146,"9,106"
84,Luxembourg,"1,544","1,000","391,512"
85,Caribbean Netherlands,"1,515",41,"11,922"
86,Jersey,"1,453",161,"66,391"
87,Collectivity of Saint Martin,"1,445",46,"12,324"
88,Canada,"1,432","55,103","4,812,623"
89,Isle of Man,"1,372",116,"38,008"
90,French Guiana,"1,356",413,"98,041"
91,Israel,"1,344","12,707","4,841,558"
92,United States Virgin Islands,"1,326",132,"25,389"
93,Netherlands,"1,308","22,986","8,636,526"
94,Jamaica,"1,273","3,600","156,853"
95,Albania,"1,268","3,605","334,863"
96,Jordan,"1,251","14,122","1,746,997"
97,Saint Vincent and the Grenadines,"1,192",124,"9,674"
98,Turkey,"1,188","101,419","17,004,714"
99,Eswatini,"1,187","1,427","75,356"
100,Guatemala,"1,132","20,203","1,250,363"
101,Malaysia,"1,100","37,350","5,283,624"
102,Palestine,"1,087","5,708","703,228"
103,New Caledonia,"1,082",314,"80,163"
104,Honduras,"1,065","11,114","472,798"
105,Botswana,"1,064","2,801","330,650"
106,Guernsey,"1,057",67,"35,326"
107,Norway,"1,054","5,732","1,508,049"
108,Bahrain,"1,043","1,536","696,614"
109,Dominica,"1,017",74,"16,047"
110,Oman,"1,011","4,628","399,449"
111,Azerbaijan,999,"10,353","835,434"
112,Kazakhstan,983,"19,072","1,504,370"
113,Saint Kitts and Nevis,964,46,"6,607"
114,Australia,964,"25,236","11,861,161"
115,Fiji,951,885,"69,047"
116,Réunion,945,921,"494,595"
117,Libya,944,"6,437","507,269"
118,Turks and Caicos Islands,874,40,"6,754"
119,Northern Mariana Islands,827,41,"14,694"
120,Mauritius,823,"1,070","327,305"
121,New Zealand,777,"4,034","2,604,824"
122,Wallis and Futuna,776,9,"3,760"
123,Sri Lanka,774,"16,901","672,768"
124,American Samoa,767,34,"8,359"
125,Cuba,760,"8,530","1,113,662"
